regName,type,arraySize,VGAbase,VGAvalue,XGAbase,XGAvalue,L520base,L520value
JFILgamma_007,uint8,4,h,7C787470,h,7C787470,h,7C787470
JFILgamma_008,uint8,4,h,8B878380,h,8B878380,h,8B878380
JFILgamma_009,uint8,4,h,9B97938F,h,9B97938F,h,9B97938F
JFILgamma_010,uint8,4,h,ABA7A39F,h,ABA7A39F,h,ABA7A39F
JFILgamma_011,uint8,4,h,BBB7B3AF,h,BBB7B3AF,h,BBB7B3AF
JFILgamma_012,uint8,4,h,CBC7C3BF,h,CBC7C3BF,h,CBC7C3BF
JFILgamma_013,uint8,4,h,DBD7D3CF,h,DBD7D3CF,h,DBD7D3CF
JFILgamma_014,uint8,4,h,EBE7E3DF,h,EBE7E3DF,h,EBE7E3DF
JFILgamma_015,uint8,4,h,FBF7F3EF,h,FBF7F3EF,h,FBF7F3EF
JFILgamma_016,uint8,4,h,000000FF,h,000000FF,h,000000FF
JFILgrad1ThrFactor_000,uint8,4,h,1F1F1F1F,h,1F1F1F1F,h,1F1F1F1F
JFILgrad1ThrFactor_001,uint8,4,h,1F1F1F1F,h,1F1F1F1F,h,1F1F1F1F
JFILgrad1ThrFactor_002,uint8,4,h,1F1F1F1F,h,1F1F1F1F,h,1F1F1F1F
JFILgrad1ThrFactor_003,uint8,4,h,1F1F1F1F,h,1F1F1F1F,h,1F1F1F1F
JFILgrad1ThrFactor_004,uint8,4,h,23222120,h,23222120,h,23222120
JFILgrad1ThrFactor_005,uint8,4,h,27262524,h,27262524,h,27262524
JFILgrad1ThrFactor_006,uint8,4,h,2B2A2928,h,2B2A2928,h,2B2A2928
JFILgrad1ThrFactor_007,uint8,4,h,2F2E2D2C,h,2F2E2D2C,h,2F2E2D2C
JFILgrad1ThrFactor_008,uint8,4,h,33323130,h,33323130,h,33323130
JFILgrad1ThrFactor_009,uint8,4,h,37363534,h,37363534,h,37363534
JFILgrad1ThrFactor_010,uint8,4,h,3B3A3938,h,3B3A3938,h,3B3A3938
JFILgrad1ThrFactor_011,uint8,4,h,3F3E3D3C,h,3F3E3D3C,h,3F3E3D3C
JFILgrad1ThrFactor_012,uint8,4,h,3F3F3F3F,h,3F3F3F3F,h,3F3F3F3F
JFILgrad1ThrFactor_013,uint8,4,h,3F3F3F3F,h,3F3F3F3F,h,3F3F3F3F
JFILgrad1ThrFactor_014,uint8,4,h,3F3F3F3F,h,3F3F3F3F,h,3F3F3F3F
JFILgrad1ThrFactor_015,uint8,4,h,3F3F3F3F,h,3F3F3F3F,h,3F3F3F3F
JFILgrad2ThrFactor_000,uint8,4,h,1F1F1F1F,h,1F1F1F1F,h,1F1F1F1F
JFILgrad2ThrFactor_001,uint8,4,h,1F1F1F1F,h,1F1F1F1F,h,1F1F1F1F
JFILgrad2ThrFactor_002,uint8,4,h,1F1F1F1F,h,1F1F1F1F,h,1F1F1F1F
JFILgrad2ThrFactor_003,uint8,4,h,1F1F1F1F,h,1F1F1F1F,h,1F1F1F1F
JFILgrad2ThrFactor_004,uint8,4,h,23222120,h,23222120,h,23222120
JFILgrad2ThrFactor_005,uint8,4,h,27262524,h,27262524,h,27262524
JFILgrad2ThrFactor_006,uint8,4,h,2B2A2928,h,2B2A2928,h,2B2A2928
JFILgrad2ThrFactor_007,uint8,4,h,2F2E2D2C,h,2F2E2D2C,h,2F2E2D2C
JFILgrad2ThrFactor_008,uint8,4,h,33323130,h,33323130,h,33323130
JFILgrad2ThrFactor_009,uint8,4,h,37363534,h,37363534,h,37363534
JFILgrad2ThrFactor_010,uint8,4,h,3B3A3938,h,3B3A3938,h,3B3A3938
