Listing of Grid Distortion Data

File : C:\Users\nberkovi\AppData\Local\Microsoft\Windows\INetCache\Content.Outlook\LUPB47RS\FF WA 1E SEQ 1.4  170308 1p14 TPF 860.ZMX
Title:  FF : Lenght 1.4mm 1.14x TPF
Date : 30-Apr-17


Units are Millimeters.
Field units are degrees
Wavelength: 0.86000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  0.00000E+00

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -24	 -14	 -2.50110E+01	 -1.52243E+01	  2.83742E+01	 -5.13725E+02	 -2.99673E+02	 -5.46189E+02	 -3.18610E+02	     6.319303%
 -24	 -13	 -2.50110E+01	 -1.41823E+01	  2.79499E+01	 -5.13725E+02	 -2.78268E+02	 -5.44781E+02	 -2.95090E+02	     6.045206%
 -24	 -12	 -2.50110E+01	 -1.31306E+01	  2.75470E+01	 -5.13725E+02	 -2.56863E+02	 -5.43500E+02	 -2.71750E+02	     5.795784%
 -24	 -11	 -2.50110E+01	 -1.20699E+01	  2.71674E+01	 -5.13725E+02	 -2.35457E+02	 -5.42339E+02	 -2.48572E+02	     5.569918%
 -24	 -10	 -2.50110E+01	 -1.10007E+01	  2.68130E+01	 -5.13725E+02	 -2.14052E+02	 -5.41295E+02	 -2.25540E+02	     5.366627%
 -24	  -9	 -2.50110E+01	 -9.92364E+00	  2.64856E+01	 -5.13725E+02	 -1.92647E+02	 -5.40362E+02	 -2.02636E+02	     5.185050%
 -24	  -8	 -2.50110E+01	 -8.83949E+00	  2.61870E+01	 -5.13725E+02	 -1.71242E+02	 -5.39537E+02	 -1.79846E+02	     5.024441%
 -24	  -7	 -2.50110E+01	 -7.74891E+00	  2.59189E+01	 -5.13725E+02	 -1.49837E+02	 -5.38816E+02	 -1.57155E+02	     4.884154%
 -24	  -6	 -2.50110E+01	 -6.65266E+00	  2.56829E+01	 -5.13725E+02	 -1.28431E+02	 -5.38197E+02	 -1.34549E+02	     4.763636%
 -24	  -5	 -2.50110E+01	 -5.55149E+00	  2.54805E+01	 -5.13725E+02	 -1.07026E+02	 -5.37677E+02	 -1.12016E+02	     4.662419%
