Listing of Grid Distortion Data

File : C:\Users\nberkovi\AppData\Local\Microsoft\Windows\INetCache\Content.Outlook\LUPB47RS\WA 3E SEQ 1 5x L4 0  170113 DFM PS.ZMX
Title: 1.5X 4.0mm Expander 50x37.5 to 75x56

Date : 29-Mar-17


Units are Millimeters.
Field units are degrees
Wavelength: 0.86000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  0.00000E+00

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -25	  10	 -2.21834E+01	  9.26348E+00	  2.37094E+01	 -1.14370E+03	  4.57481E+02	 -1.32340E+03	  5.29359E+02	    15.711588%
 -25	  11	 -2.21834E+01	  1.01713E+01	  2.40120E+01	 -1.14370E+03	  5.03229E+02	 -1.33008E+03	  5.85234E+02	    16.295620%
 -25	  12	 -2.21834E+01	  1.10741E+01	  2.43370E+01	 -1.14370E+03	  5.48977E+02	 -1.33749E+03	  6.41997E+02	    16.944154%
 -25	  13	 -2.21834E+01	  1.19713E+01	  2.46830E+01	 -1.14370E+03	  5.94725E+02	 -1.34567E+03	  6.99751E+02	    17.659475%
 -25	  14	 -2.21834E+01	  1.28625E+01	  2.50484E+01	 -1.14370E+03	  6.40474E+02	 -1.35465E+03	  7.58602E+02	    18.443921%
 -25	  15	 -2.21834E+01	  1.37475E+01	  2.54320E+01	 -1.14370E+03	  6.86222E+02	 -1.36443E+03	  8.18661E+02	    19.299794%
 -25	  16	 -2.21834E+01	  1.46259E+01	  2.58322E+01	 -1.14370E+03	  7.31970E+02	 -1.37507E+03	  8.80042E+02	    20.229235%
 -25	  17	 -2.21834E+01	  1.54973E+01	  2.62478E+01	 -1.14370E+03	  7.77718E+02	 -1.38656E+03	  9.42859E+02	    21.234059%
 -25	  18	 -2.21834E+01	  1.63614E+01	  2.66772E+01	 -1.14370E+03	  8.23466E+02	 -1.39893E+03	  1.00723E+03	    22.315556%
 -25	  19	 -2.21834E+01	  1.72179E+01	  2.71193E+01	 -1.14370E+03	  8.69214E+02	 -1.41218E+03	  1.07324E+03	    23.473542%
 -25	  20	 -2.21834E+01	  1.80665E+01	  2.75727E+01	 -1.14370E+03	  9.14962E+02	 -1.42629E+03	  1.14094E+03	    24.703840%
 -25	  21	 -2.21834E+01	  1.89071E+01	  2.80363E+01	 -1.14370E+03	  9.60710E+02	 -1.44126E+03	  1.21047E+03	    26.008838%
 -25	  22	 -2.21834E+01	  1.97392E+01	  2.85089E+01	 -1.14370E+03	  1.00646E+03	 -1.45707E+03	  1.28192E+03	    27.386545%
 -25	  23	 -2.21834E+01	  2.05628E+01	  2.89894E+01	 -1.14370E+03	  1.05221E+03	 -1.47371E+03	  1.35582E+03	    28.854485%
 -25	  24	 -2.21834E+01	  2.13776E+01	  2.94767E+01	 -1.14370E+03	  1.09795E+03	 -1.49105E+03	  1.43141E+03	    30.370335%
 -25	  25	 -2.21834E+01	  2.21834E+01	  2.99700E+01	 -1.14370E+03	  1.14370E+03	 -1.50910E+03	  1.50910E+03	    31.948593%
 -24	 -25	 -2.13776E+01	 -2.21834E+01	  2.94767E+01	 -1.09795E+03	 -1.14370E+03	 -1.43141E+03	 -1.49105E+03	    30.370335%
 -24	 -24	 -2.13776E+01	 -2.13776E+01	  2.89683E+01	 -1.09795E+03	 -1.09795E+03	 -1.41406E+03	 -1.41406E+03	    28.789955%
 -24	 -23	 -2.13776E+01	 -2.05628E+01	  2.84655E+01	 -1.09795E+03	 -1.05221E+03	 -1.39743E+03	 -1.33948E+03	    27.288730%
 -24	 -22	 -2.13776E+01	 -1.97392E+01	  2.79693E+01	 -1.09795E+03	 -1.00646E+03	 -1.38157E+03	 -1.26661E+03	    25.838788%
 -24	 -21	 -2.13776E+01	 -1.89071E+01	  2.74807E+01	 -1.09795E+03	 -9.60710E+02	 -1.36648E+03	 -1.19575E+03	    24.460656%
 -24	 -20	 -2.13776E+01	 -1.80665E+01	  2.70010E+01	 -1.09795E+03	 -9.14962E+02	 -1.35224E+03	 -1.12686E+03	    23.159685%
 -24	 -19	 -2.13776E+01	 -1.72179E+01	  2.65312E+01	 -1.09795E+03	 -8.69214E+02	 -1.33888E+03	 -1.05995E+03	    21.943045%
 -24	 -18	 -2.13776E+01	 -1.63614E+01	  2.60728E+01	 -1.09795E+03	 -8.23466E+02	 -1.32639E+03	 -9.94796E+02	    20.805912%
 -24	 -17	 -2.13776E+01	 -1.54973E+01	  2.56269E+01	 -1.09795E+03	 -7.77718E+02	 -1.31478E+03	 -9.31299E+02	    19.747701%
 -24	 -16	 -2.13776E+01	 -1.46259E+01	  2.51950E+01	 -1.09795E+03	 -7.31970E+02	 -1.30401E+03	 -8.69338E+02	    18.766968%
 -24	 -15	 -2.13776E+01	 -1.37475E+01	  2.47785E+01	 -1.09795E+03	 -6.86222E+02	 -1.29407E+03	 -8.08792E+02	    17.861676%
 -24	 -14	 -2.13776E+01	 -1.28625E+01	  2.43789E+01	 -1.09795E+03	 -6.40474E+02	 -1.28493E+03	 -7.49542E+02	    17.029425%
 -24	 -13	 -2.13776E+01	 -1.19713E+01	  2.39977E+01	 -1.09795E+03	 -5.94725E+02	 -1.27657E+03	 -6.91473E+02	    16.267632%
 -24	 -12	 -2.13776E+01	 -1.10741E+01	  2.36365E+01	 -1.09795E+03	 -5.48977E+02	 -1.26895E+03	 -6.34473E+02	    15.573680%
